N,Flops,s
64,1.951e+08,0.000001
64,2.082e+08,0.000001
64,3.639e+08,0.000000
64,4.177e+08,0.000000
64,4.164e+08,0.000000
128,5.281e+08,0.000000
128,5.171e+08,0.000000
128,5.203e+08,0.000000
128,5.669e+08,0.000000
128,1.427e+08,0.000002
256,3.539e+08,0.000001
256,5.808e+08,0.000001
256,5.812e+08,0.000001
256,5.786e+08,0.000001
256,5.762e+08,0.000001
512,6.181e+08,0.000002
512,6.204e+08,0.000002
512,6.246e+08,0.000002
512,6.223e+08,0.000002
512,6.223e+08,0.000002
1024,6.443e+08,0.000003
1024,6.415e+08,0.000003
1024,6.413e+08,0.000003
1024,6.415e+08,0.000003
1024,6.421e+08,0.000003
2048,6.527e+08,0.000006
2048,6.528e+08,0.000006
2048,2.395e+08,0.000017
2048,2.393e+08,0.000017
2048,5.197e+08,0.000008
4096,6.583e+08,0.000012
4096,6.583e+08,0.000012
4096,3.292e+08,0.000025
4096,1.756e+08,0.000047
4096,4.389e+08,0.000019
