N,MB,s,MB/s
25,0.000100,0.000006,15.446744
25,0.000100,0.000006,16.310209
25,0.000100,0.000006,16.815313
25,0.000100,0.000006,16.986898
25,0.000100,0.000006,16.700238
25,0.000100,0.000006,17.899426
25,0.000100,0.000005,18.878147
25,0.000100,0.000005,20.124484
25,0.000100,0.000005,20.039974
25,0.000100,0.000005,19.523466
250,0.001000,0.000005,185.840825
250,0.001000,0.000005,191.868095
250,0.001000,0.000005,198.253660
250,0.001000,0.000005,194.061418
250,0.001000,0.000005,204.463834
250,0.001000,0.000005,195.465676
250,0.001000,0.000005,204.337376
250,0.001000,0.000005,195.920413
250,0.001000,0.000005,195.777523
250,0.001000,0.000005,196.926515
2500,0.010000,0.000094,106.033390
2500,0.010000,0.000093,107.485161
2500,0.010000,0.000089,112.693898
2500,0.010000,0.000228,43.922243
2500,0.010000,0.000192,52.105304
2500,0.010000,0.000194,51.479212
2500,0.010000,0.000107,93.220917
2500,0.010000,0.000090,111.138441
2500,0.010000,0.000092,108.186392
2500,0.010000,0.000090,110.541187
