N,MB,s,MB/s
250000,1.000000,0.000406,2464.098074
250000,1.000000,0.001396,716.491473
250000,1.000000,0.001431,698.915070
250000,1.000000,0.001211,826.015612
250000,1.000000,0.001714,583.455375
250000,1.000000,0.000448,2230.121931
250000,1.000000,0.000755,1324.467902
250000,1.000000,0.000262,3821.376468
250000,1.000000,0.000429,2331.572994
250000,1.000000,0.000464,2156.445837
2500000,10.000000,0.003484,2870.242592
2500000,10.000000,0.005218,1916.519905
2500000,10.000000,0.004022,2486.395087
2500000,10.000000,0.004909,2037.049008
2500000,10.000000,0.004843,2064.935577
2500000,10.000000,0.004730,2114.035380
2500000,10.000000,0.004115,2430.206317
2500000,10.000000,0.003518,2842.366511
2500000,10.000000,0.003872,2582.456477
2500000,10.000000,0.003317,3014.725305
25000000,100.000000,0.025012,3998.035666
25000000,100.000000,0.024728,4043.957518
25000000,100.000000,0.037294,2681.360737
25000000,100.000000,0.035132,2846.444865
25000000,100.000000,0.037208,2687.587694
25000000,100.000000,0.035533,2814.323963
25000000,100.000000,0.036731,2722.499259
25000000,100.000000,0.036419,2745.810150
25000000,100.000000,0.025768,3880.735844
25000000,100.000000,0.027002,3703.367806
250000000,1000.000000,0.377141,2651.529734
250000000,1000.000000,0.370250,2700.880974
250000000,1000.000000,0.283305,3529.764642
250000000,1000.000000,0.377922,2646.045575
250000000,1000.000000,0.333267,3000.593437
250000000,1000.000000,0.332038,3011.704550
250000000,1000.000000,0.305869,3269.371352
250000000,1000.000000,0.338907,2950.665002
250000000,1000.000000,0.244106,4096.580285
250000000,1000.000000,0.237477,4210.934609
