B,Flops,s
2,1.48E+08,930.644108
2,1.43E+08,960.03374
2,1.40E+08,983.172639
2,1.52E+08,902.597843
2,1.57E+08,875.037969
4,3.74E+08,367.322114
4,3.75E+08,366.381228
4,3.75E+08,366.879549
4,3.75E+08,366.466003
4,3.75E+08,366.307398
8,4.68E+08,293.559432
8,4.70E+08,292.761373
8,4.70E+08,292.737571
8,4.70E+08,292.73104
8,4.70E+08,292.681829
16,4.75E+08,289.334757
16,4.75E+08,289.386688
16,4.74E+08,289.740123
16,4.75E+08,289.560378
16,4.75E+08,289.495013
32,4.88E+08,281.709444
32,4.88E+08,281.718006
32,4.88E+08,281.588724
32,4.88E+08,281.555852
32,4.88E+08,281.838242
64,4.91E+08,279.869038
64,4.91E+08,279.898926
64,4.91E+08,279.71244
64,4.91E+08,279.796964
64,4.91E+08,279.83203
128,3.08E+08,446.401731
128,3.21E+08,427.959278
128,3.17E+08,434.076991
128,3.17E+08,433.051058
128,3.20E+08,430.226346
