N,Flops,s
64,3.43E+08,0.00153
64,6.69E+08,0.000783
64,6.88E+08,0.000763
64,6.82E+08,0.000769
64,6.87E+08,0.000763
128,6.56E+08,0.006399
128,6.55E+08,0.006406
128,6.56E+08,0.006395
128,6.55E+08,0.006403
128,6.56E+08,0.006398
256,6.44E+08,0.05207
256,6.30E+08,0.053253
256,6.29E+08,0.053331
256,6.44E+08,0.052098
256,6.45E+08,0.052056
512,4.36E+08,0.616035
512,4.10E+08,0.655031
512,5.82E+08,0.461066
512,7.11E+08,0.377449
512,6.60E+08,0.40685
1024,5.17E+08,4.154774
1024,4.96E+08,4.331462
1024,5.28E+08,4.070715
1024,5.19E+08,4.134348
1024,5.21E+08,4.119503
2048,5.29E+08,32.480976
2048,5.29E+08,32.476886
2048,5.29E+08,32.478418
2048,5.29E+08,32.47864
2048,5.29E+08,32.479866
4096,1.77E+08,776.565422
4096,1.58E+08,871.115076
4096,1.62E+08,850.652288
4096,1.58E+08,868.521871
4096,1.76E+08,782.537046
