N,FLOP,Flops,s,T
1073741824,1073741823,2.193984e+08,4.894029,1
1073741824,1073741823,2.727073e+08,3.937342,1
1073741824,1073741823,2.528608e+08,4.246375,1
1073741824,1073741823,2.353530e+08,4.562262,1
1073741824,1073741823,2.592360e+08,4.141947,1
1073741824,1073741823,4.182909e+08,2.566974,2
1073741824,1073741823,4.476621e+08,2.398554,2
1073741824,1073741823,3.990080e+08,2.691029,2
1073741824,1073741823,4.305276e+08,2.494014,2
1073741824,1073741823,4.379254e+08,2.451883,2
1073741824,1073741823,8.066489e+08,1.331114,4
1073741824,1073741823,7.703858e+08,1.393772,4
1073741824,1073741823,7.068243e+08,1.519107,4
1073741824,1073741823,7.980884e+08,1.345392,4
1073741824,1073741823,8.391485e+08,1.279561,4
1073741824,1073741823,1.409378e+09,0.761855,8
1073741824,1073741823,1.443999e+09,0.743589,8
1073741824,1073741823,1.428909e+09,0.751442,8
1073741824,1073741823,1.423146e+09,0.754485,8
1073741824,1073741823,1.384228e+09,0.775697,8
1073741824,1073741823,2.558710e+09,0.419642,16
1073741824,1073741823,2.476555e+09,0.433563,16
1073741824,1073741823,2.586822e+09,0.415081,16
1073741824,1073741823,2.559226e+09,0.419557,16
1073741824,1073741823,2.660598e+09,0.403572,16
1073741824,1073741823,3.599477e+09,0.298305,32
1073741824,1073741823,3.949885e+09,0.271841,32
1073741824,1073741823,4.068584e+09,0.263910,32
1073741824,1073741823,3.847796e+09,0.279054,32
1073741824,1073741823,3.591684e+09,0.298952,32
1073741824,1073741823,4.066243e+09,0.264062,32
1073741824,1073741823,4.277578e+09,0.251016,32
1073741824,1073741823,3.663378e+09,0.293102,32
1073741824,1073741823,3.432770e+09,0.312792,32
1073741824,1073741823,4.448251e+09,0.241385,32
1073741824,1073741823,3.680068e+09,0.291772,32
1073741824,1073741823,4.058039e+09,0.264596,32
1073741824,1073741823,3.462420e+09,0.310113,32
1073741824,1073741823,4.470327e+09,0.240193,32
1073741824,1073741823,3.465906e+09,0.309801,32
1073741824,1073741823,3.436621e+09,0.312441,32
1073741824,1073741823,3.849115e+09,0.278958,32
1073741824,1073741823,3.545750e+09,0.302825,32
1073741824,1073741823,3.866536e+09,0.277701,32
1073741824,1073741823,3.819777e+09,0.281101,32
