N,FLOP,Flops,s,B,T
4096,137438953472,1.176937e+10,11.677683,64,32
4096,137438953472,1.204499e+10,11.410464,64,32
4096,137438953472,1.200587e+10,11.447644,64,32
4096,137438953472,1.203830e+10,11.416811,64,32
4096,137438953472,1.197015e+10,11.481805,64,32
4096,137438953472,1.175672e+10,11.690241,64,32
4096,137438953472,1.180473e+10,11.642704,64,32
4096,137438953472,1.185223e+10,11.596037,64,32
4096,137438953472,1.191724e+10,11.532785,64,32
4096,137438953472,1.166281e+10,11.784381,64,32
4096,137438953472,1.201846e+10,11.435654,64,32
4096,137438953472,1.132263e+10,12.138430,64,32
4096,137438953472,1.187362e+10,11.575150,64,32
4096,137438953472,1.152735e+10,11.922862,64,32
4096,137438953472,1.155260e+10,11.896797,64,32
4096,137438953472,1.178743e+10,11.659788,64,32
4096,137438953472,1.171701e+10,11.729867,64,32
4096,137438953472,1.179573e+10,11.651588,64,32
4096,137438953472,1.196065e+10,11.490925,64,32
4096,137438953472,1.154299e+10,11.906706,64,32
