T,s
1,3.867863
1,3.931273
1,3.944690
1,3.861260
1,3.951137
2,2.200037
2,2.100472
2,2.034220
2,2.135361
2,2.032071
4,1.426093
4,1.440062
4,1.211317
4,1.384417
4,1.381196
8,0.977002
8,0.993208
8,0.981838
8,0.873332
8,0.940331
16,0.493098
16,0.505666
16,0.506724
16,0.531967
16,0.520591
32,0.381215
32,0.421601
32,0.453153
32,0.512242
32,0.351078
32,0.486435
32,0.329819
32,0.338603
32,0.326526
32,0.470438
32,0.436613
32,0.347739
32,0.430537
32,0.359873
32,0.327736
32,0.478778
32,0.461170
32,0.472423
32,0.460828
32,0.481065
