N,FLOP,Flops,s,B,T
4096,137438953472,4.220861e+08,325.618292,64,1
4096,137438953472,4.223731e+08,325.397027,64,1
4096,137438953472,4.224561e+08,325.333124,64,1
4096,137438953472,4.218922e+08,325.767975,64,1
4096,137438953472,4.150381e+08,331.147782,64,1
4096,137438953472,7.873294e+08,174.563469,64,2
4096,137438953472,7.901063e+08,173.949947,64,2
4096,137438953472,8.278577e+08,166.017607,64,2
4096,137438953472,8.258565e+08,166.419894,64,2
4096,137438953472,8.233414e+08,166.928261,64,2
4096,137438953472,1.632518e+09,84.188301,64,4
4096,137438953472,1.620478e+09,84.813852,64,4
4096,137438953472,1.629923e+09,84.322380,64,4
4096,137438953472,1.618383e+09,84.923618,64,4
4096,137438953472,1.630866e+09,84.273599,64,4
4096,137438953472,3.198206e+09,42.973765,64,8
4096,137438953472,3.169354e+09,43.364973,64,8
4096,137438953472,3.128141e+09,43.936307,64,8
4096,137438953472,3.159637e+09,43.498331,64,8
4096,137438953472,3.142135e+09,43.740631,64,8
4096,137438953472,6.060182e+09,22.679015,64,16
4096,137438953472,5.992811e+09,22.933969,64,16
4096,137438953472,5.909424e+09,23.257590,64,16
4096,137438953472,6.015151e+09,22.848796,64,16
4096,137438953472,6.170076e+09,22.275083,64,16
4096,137438953472,1.031520e+10,13.323920,64,32
4096,137438953472,1.024098e+10,13.420486,64,32
4096,137438953472,1.094149e+10,12.561262,64,32
4096,137438953472,1.094586e+10,12.556247,64,32
4096,137438953472,1.067343e+10,12.876739,64,32
4096,137438953472,9.923308e+09,13.850115,64,32
4096,137438953472,1.065826e+10,12.895065,64,32
4096,137438953472,1.140517e+10,12.050581,64,32
4096,137438953472,1.028993e+10,13.356642,64,32
4096,137438953472,9.765838e+09,14.073442,64,32
4096,137438953472,1.056782e+10,13.005421,64,32
4096,137438953472,1.064990e+10,12.905187,64,32
4096,137438953472,1.095262e+10,12.548504,64,32
4096,137438953472,1.068758e+10,12.859688,64,32
4096,137438953472,1.061857e+10,12.943265,64,32
4096,137438953472,1.095369e+10,12.547275,64,32
4096,137438953472,1.057604e+10,12.995312,64,32
4096,137438953472,9.866089e+09,13.930439,64,32
4096,137438953472,9.974400e+09,13.779171,64,32
4096,137438953472,1.018968e+10,13.488049,64,32
