name, size, average (us), stdev (us), overhead avg (us), overhead stdev (us)
STATIC,0,153.143041,33.844817,75.429673,33.865408
STATIC,1,93.234291,15.561419,15.520923,15.582009
STATIC,2,83.405397,0.265129,5.69203,0.28572
STATIC,4,79.329343,0.198341,1.615975,0.218931
STATIC,8,79.14232,1.505871,1.428953,1.526461
STATIC,16,81.063656,0.225578,3.350288,0.246168
STATIC,32,79.603383,0.176234,1.890015,0.196825
STATIC,64,78.94447,0.637292,1.231103,0.657882
STATIC,128,78.675893,0.910633,0.962525,0.931224
STATIC,256,78.369147,0.170435,0.65578,0.191025
STATIC,512,78.2726,0.05941,0.559232,0.080001
STATIC,1024,78.26343,0.182519,0.550062,0.20311
STATIC,2048,78.203414,0.082428,0.490046,0.103019
STATIC,4096,78.191554,0.058278,0.478187,0.078868
STATIC,8192,78.279719,0.625766,0.566351,0.646356
DYNAMIC,1,6882.744452,5.241655,6805.031084,5.262246
DYNAMIC,2,3901.537552,3.268899,3823.824184,3.289489
DYNAMIC,4,3080.650147,2.729636,3002.936779,2.750226
DYNAMIC,8,1685.10316,1.575365,1607.389792,1.595955
DYNAMIC,16,841.744058,0.679454,764.03069,0.700045
DYNAMIC,32,425.961448,0.288126,348.24808,0.308717
DYNAMIC,64,226.582737,0.115086,148.86937,0.135676
DYNAMIC,128,122.17222,0.158963,44.458852,0.179554
DYNAMIC,256,87.600126,0.094919,9.886758,0.11551
DYNAMIC,512,85.508478,0.080539,7.79511,0.101129
DYNAMIC,1024,84.610726,0.069511,6.897359,0.090101
DYNAMIC,2048,84.04525,0.092693,6.331882,0.113284
DYNAMIC,4096,83.879055,0.591307,6.165687,0.611898
DYNAMIC,8192,83.696168,0.108316,5.982801,0.128907
GUIDED,1,97.318827,0.172631,19.60546,0.193221
GUIDED,2,96.4748,0.133483,18.761432,0.154074
GUIDED,4,95.398603,0.188011,17.685235,0.208601
GUIDED,8,93.626095,0.156236,15.912728,0.176827
GUIDED,16,98.562556,12.589373,20.849189,12.609963
GUIDED,32,90.934814,0.436498,13.221446,0.457089
GUIDED,64,88.080853,0.198113,10.367486,0.218704
GUIDED,128,86.327327,0.155501,8.61396,0.176091
GUIDED,256,84.341073,0.097571,6.627705,0.118161
