name, size, average (us), stdev (us), overhead avg (us)
PARALLEL,7.301049,1.482463,7.295233,1.482894
FOR,2.479012,0.014679,2.473195,0.01511
PARALLEL FOR,6.765478,0.010959,6.759662,0.01139
BARRIER,2.480622,0.006276,2.474806,0.006707
SINGLE,5.246825,0.005782,5.241009,0.006213
CRITICAL,0.257758,0.003018,0.251942,0.003448
LOCK/UNLOCK,0.408587,0.002471,0.402771,0.002902
ORDERED,0.375664,0.009566,0.369848,0.009997
ATOMIC,0.054133,0.001067,0.053017,0.001067
REDUCTION,7.16825,0.036009,7.162597,0.036247
