N,MB,s,MB/s
25,0.000100,0.000033,3.053157
25,0.000100,0.000010,10.102002
25,0.000100,0.000010,9.957036
25,0.000100,0.000009,11.428560
25,0.000100,0.000009,11.098680
25,0.000100,0.000009,11.239545
25,0.000100,0.000010,10.063185
25,0.000100,0.000008,11.831540
25,0.000100,0.000008,12.016247
25,0.000100,0.000008,12.268531
250,0.001000,0.000011,91.735562
250,0.001000,0.000009,108.035902
250,0.001000,0.000008,118.133160
250,0.001000,0.000009,116.306523
250,0.001000,0.000009,113.070088
250,0.001000,0.000009,114.651699
250,0.001000,0.000009,112.586959
250,0.001000,0.000009,112.395449
250,0.001000,0.000009,111.929722
250,0.001000,0.000008,122.071603
2500,0.010000,0.016768,0.596390
2500,0.010000,0.000013,786.840212
2500,0.010000,0.000017,599.847390
2500,0.010000,0.000016,607.208417
2500,0.010000,0.000013,778.694484
2500,0.010000,0.000013,781.613703
2500,0.010000,0.000013,776.582522
2500,0.010000,0.000013,799.495038
2500,0.010000,0.000014,715.315240
2500,0.010000,0.000014,692.234233
25000,0.100000,0.016226,6.162822
25000,0.100000,0.000058,1723.398389
25000,0.100000,0.000060,1675.633603
25000,0.100000,0.000043,2330.788510
25000,0.100000,0.000048,2104.953071
25000,0.100000,0.000039,2567.792815
25000,0.100000,0.000040,2493.580098
25000,0.100000,0.000039,2567.470467
25000,0.100000,0.000039,2561.666734
25000,0.100000,0.000061,1642.924963
250000,1.000000,0.029239,34.201247
250000,1.000000,0.000552,1812.296662
250000,1.000000,0.000625,1600.570954
250000,1.000000,0.000470,2126.649922
250000,1.000000,0.000373,2678.926385
250000,1.000000,0.000346,2893.802564
250000,1.000000,0.000361,2772.909147
250000,1.000000,0.000384,2605.265221
250000,1.000000,0.000345,2901.932381
250000,1.000000,0.000323,3094.508446
2500000,10.000000,0.055464,180.295960
2500000,10.000000,0.003041,3288.172584
2500000,10.000000,0.006572,1521.533888
2500000,10.000000,0.004942,2023.577184
2500000,10.000000,0.004592,2177.720646
2500000,10.000000,0.004197,2382.898402
2500000,10.000000,0.003989,2507.075052
2500000,10.000000,0.003925,2548.040145
2500000,10.000000,0.004189,2387.449677
2500000,10.000000,0.004014,2491.516334
25000000,100.000000,0.125065,799.586447
25000000,100.000000,0.055539,1800.532474
25000000,100.000000,0.055317,1807.765476
25000000,100.000000,0.053574,1866.569477
25000000,100.000000,0.055311,1807.965994
25000000,100.000000,0.053440,1871.266341
25000000,100.000000,0.055372,1805.959048
25000000,100.000000,0.053381,1873.310274
25000000,100.000000,0.055282,1808.904377
25000000,100.000000,0.055354,1806.542072
250000000,1000.000000,0.589420,1696.583583
250000000,1000.000000,0.550998,1814.887428
250000000,1000.000000,0.550820,1815.474332
250000000,1000.000000,0.533025,1876.083485
250000000,1000.000000,0.367055,2724.385639
250000000,1000.000000,0.326749,3060.454967
250000000,1000.000000,0.344665,2901.369528
250000000,1000.000000,0.350791,2850.701551
250000000,1000.000000,0.345289,2896.127556
250000000,1000.000000,0.359057,2785.074696
-1794967296,10000.000000,4.017083,2489.368223
-1794967296,10000.000000,3.782300,2643.894216
-1794967296,10000.000000,3.384986,2954.221808
-1794967296,10000.000000,3.458213,2891.666584
-1794967296,10000.000000,3.508951,2849.854835
-1794967296,10000.000000,3.507749,2850.831363
-1794967296,10000.000000,3.395906,2944.722357
-1794967296,10000.000000,3.515745,2844.347479
-1794967296,10000.000000,3.553899,2813.810973
-1794967296,10000.000000,3.467041,2884.304325
