N,FLOP,Flops,s,T
4096,137438953472,1.390225e+08,988.609075,1
4096,137438953472,1.390451e+08,988.449009,1
4096,137438953472,1.301184e+08,1056.261103,1
4096,137438953472,1.314219e+08,1045.784317,1
4096,137438953472,1.435429e+08,957.476752,1
4096,137438953472,1.681558e+08,817.331012,2
4096,137438953472,1.678957e+08,818.597005,2
4096,137438953472,2.242328e+08,612.929738,2
4096,137438953472,2.221354e+08,618.717075,2
4096,137438953472,2.515889e+08,546.283938,2
4096,137438953472,4.443532e+08,309.301162,4
4096,137438953472,4.260994e+08,322.551356,4
4096,137438953472,4.230581e+08,324.870168,4
4096,137438953472,4.100934e+08,335.140631,4
4096,137438953472,4.013958e+08,342.402554,4
4096,137438953472,7.621998e+08,180.318794,8
4096,137438953472,7.733142e+08,177.727184,8
4096,137438953472,8.158352e+08,168.464118,8
4096,137438953472,7.788046e+08,176.474238,8
4096,137438953472,7.760794e+08,177.093923,8
4096,137438953472,1.445842e+09,95.058040,16
4096,137438953472,1.458282e+09,94.247152,16
4096,137438953472,1.473516e+09,93.272782,16
4096,137438953472,1.450583e+09,94.747362,16
4096,137438953472,1.466540e+09,93.716443,16
4096,137438953472,2.795371e+09,49.166618,32
4096,137438953472,2.762746e+09,49.747233,32
4096,137438953472,2.831811e+09,48.533944,32
4096,137438953472,2.753532e+09,49.913701,32
4096,137438953472,2.766168e+09,49.685694,32
4096,137438953472,2.810117e+09,48.908615,32
4096,137438953472,2.798780e+09,49.106745,32
4096,137438953472,2.736598e+09,50.222553,32
4096,137438953472,2.886185e+09,47.619594,32
4096,137438953472,2.753832e+09,49.908250,32
4096,137438953472,2.788978e+09,49.279317,32
4096,137438953472,2.738723e+09,50.183584,32
4096,137438953472,2.919940e+09,47.069097,32
4096,137438953472,2.861537e+09,48.029767,32
4096,137438953472,2.790430e+09,49.253684,32
4096,137438953472,2.728652e+09,50.368804,32
4096,137438953472,2.801220e+09,49.063956,32
4096,137438953472,2.816677e+09,48.794723,32
4096,137438953472,2.884006e+09,47.655578,32
4096,137438953472,2.810593e+09,48.900337,32
