N, FLOP, Flops, s, P
4096,137438953472,1.390225e+08,988.609075,1
4096,137438953472,1.390451e+08,988.449009,1
4096,137438953472,1.301184e+08,1056.261103,1
4096,137438953472,1.314219e+08,1045.784317,1
4096,137438953472,1.435429e+08,957.476752,1
4096,137438953472,5.897e+08,233.06342,4
4096,137438953472,5.863e+08,234.40050,4
4096,137438953472,5.861e+08,234.49662,4
4096,137438953472,5.919e+08,232.18715,4
4096,137438953472,5.850e+08,234.93363,4
4096,137438953472,2.079e+09,66.11433,16
4096,137438953472,2.087e+09,65.85164,16
4096,137438953472,2.078e+09,66.15139,16
4096,137438953472,2.077e+09,66.16461,16
4096,137438953472,2.093e+09,65.66602,16
4096,137438953472,4.387e+09,31.32687,64
4096,137438953472,7.376e+09,18.63229,64
4096,137438953472,7.350e+09,18.69873,64
4096,137438953472,7.369e+09,18.65158,64
4096,137438953472,7.362e+09,18.66940,64
4096,137438953472,7.382e+09,18.61730,64
4096,137438953472,7.351e+09,18.69540,64
4096,137438953472,7.350e+09,18.69983,64
4096,137438953472,7.364e+09,18.66314,64
4096,137438953472,7.382e+09,18.61883,64
4096,137438953472,7.000e+09,19.63428,64
4096,137438953472,7.380e+09,18.62383,64
4096,137438953472,7.392e+09,18.59285,64
4096,137438953472,7.374e+09,18.63762,64
4096,137438953472,7.370e+09,18.64869,64
4096,137438953472,7.358e+09,18.67837,64
4096,137438953472,7.380e+09,18.62408,64
4096,137438953472,7.361e+09,18.67149,64
4096,137438953472,7.363e+09,18.66656,64
4096,137438953472,7.230e+09,19.00952,64
