N,MB,s,MB/s,P
2500000000,9536.74,0.35974,26510.23,2
2500000000,9536.74,0.01494,638198.29,2
2500000000,9536.74,0.01170,815341.17,2
2500000000,9536.74,0.01308,729059.48,2
2500000000,9536.74,0.01068,892613.99,2
2500000000,9536.74,0.02347,406316.74,4
2500000000,9536.74,0.01532,622480.63,4
2500000000,9536.74,0.01897,502765.88,4
2500000000,9536.74,0.01613,591218.04,4
2500000000,9536.74,0.01357,702977.81,4
2500000000,9536.74,0.03509,271783.87,8
2500000000,9536.74,0.02332,408971.26,8
2500000000,9536.74,0.01866,511067.32,8
2500000000,9536.74,0.01937,492425.53,8
2500000000,9536.74,0.02222,429104.01,8
2500000000,9536.74,0.04370,218240.22,16
2500000000,9536.74,0.05452,174928.56,16
2500000000,9536.74,0.06712,142083.67,16
2500000000,9536.74,0.06208,153610.33,16
2500000000,9536.74,0.05709,167045.20,16
2500000000,9536.74,0.12182,78286.93,32
2500000000,9536.74,0.15744,60572.84,32
2500000000,9536.74,0.14929,63882.49,32
2500000000,9536.74,0.17829,53490.29,32
2500000000,9536.74,0.08320,114626.40,32
2500000000,9536.74,1.16340,8197.32,64
2500000000,9536.74,0.83936,11361.86,64
2500000000,9536.74,0.79603,11980.38,64
2500000000,9536.74,0.84086,11341.59,64
2500000000,9536.74,0.79001,12071.69,64
