N,MB,s,MB/s
25,0.000100,0.000009,10.690647
25,0.000100,0.000006,16.818606
25,0.000100,0.000006,17.071296
25,0.000100,0.000005,20.733610
25,0.000100,0.000005,20.542220
25,0.000100,0.000005,20.113175
25,0.000100,0.000005,19.991469
25,0.000100,0.000005,20.558936
25,0.000100,0.000005,20.189758
25,0.000100,0.000005,19.417547
250,0.001000,0.000005,197.906520
250,0.001000,0.000005,194.898003
250,0.001000,0.000005,199.283932
250,0.001000,0.000005,186.737709
250,0.001000,0.000005,200.558828
250,0.001000,0.000005,204.541732
250,0.001000,0.000005,203.254332
250,0.001000,0.000005,204.288779
250,0.001000,0.000005,206.568262
250,0.001000,0.000005,204.961455
2500,0.010000,0.001224,8.168173
2500,0.010000,0.000100,100.114154
2500,0.010000,0.000099,100.644111
2500,0.010000,0.000101,99.096411
2500,0.010000,0.000097,103.574300
2500,0.010000,0.000111,89.953929
2500,0.010000,0.000099,100.510567
2500,0.010000,0.000097,103.436360
2500,0.010000,0.000083,121.040571
2500,0.010000,0.000108,92.875604
25000,0.100000,0.000853,117.246227
25000,0.100000,0.000115,868.101581
25000,0.100000,0.000127,788.209127
25000,0.100000,0.000138,725.378702
25000,0.100000,0.000138,723.855439
25000,0.100000,0.000123,809.763102
25000,0.100000,0.000104,960.393752
25000,0.100000,0.000104,965.688521
25000,0.100000,0.000106,939.982337
25000,0.100000,0.000108,926.012703
250000,1.000000,0.001121,892.059982
250000,1.000000,0.000387,2586.212639
250000,1.000000,0.000380,2631.689518
250000,1.000000,0.000492,2031.590549
250000,1.000000,0.000380,2632.084649
250000,1.000000,0.000455,2198.468327
250000,1.000000,0.000321,3119.970722
250000,1.000000,0.000360,2778.141132
250000,1.000000,0.000340,2945.082734
250000,1.000000,0.000311,3213.006601
2500000,10.000000,0.003449,2899.018745
2500000,10.000000,0.004167,2399.698567
2500000,10.000000,0.003170,3154.879616
2500000,10.000000,0.003245,3081.654563
2500000,10.000000,0.002744,3643.929698
2500000,10.000000,0.002827,3536.889500
2500000,10.000000,0.002956,3382.928436
2500000,10.000000,0.002379,4203.480642
2500000,10.000000,0.002394,4176.805875
2500000,10.000000,0.002606,3837.557669
25000000,100.000000,0.034512,2897.581087
25000000,100.000000,0.036506,2739.296737
25000000,100.000000,0.029273,3416.087018
25000000,100.000000,0.039607,2524.813103
25000000,100.000000,0.029685,3368.730394
25000000,100.000000,0.028647,3490.714666
25000000,100.000000,0.025546,3914.489879
25000000,100.000000,0.024518,4078.707805
25000000,100.000000,0.024361,4104.881168
25000000,100.000000,0.024952,4007.721736
250000000,1000.000000,0.232299,4304.802189
250000000,1000.000000,0.235800,4240.882750
250000000,1000.000000,0.235599,4244.504169
250000000,1000.000000,0.238677,4189.766826
250000000,1000.000000,0.281038,3558.234044
250000000,1000.000000,0.237022,4219.022304
250000000,1000.000000,0.256799,3894.093840
250000000,1000.000000,0.235941,4238.343230
250000000,1000.000000,0.238277,4196.802610
250000000,1000.000000,0.237144,4216.850400
-1794967296,10000.000000,2.886682,3464.184298
-1794967296,10000.000000,2.655417,3765.886330
-1794967296,10000.000000,2.720756,3675.448905
-1794967296,10000.000000,2.945701,3394.777669
-1794967296,10000.000000,3.015846,3315.818740
-1794967296,10000.000000,2.759160,3624.291592
-1794967296,10000.000000,2.762201,3620.301280
-1794967296,10000.000000,2.676556,3736.145001
-1794967296,10000.000000,2.619183,3817.984933
-1794967296,10000.000000,2.665634,3751.452049
