N,FLOP,Flops,s,T
32768,2147450880,4.479309e+08,4.794156,1
32768,2147450880,4.928058e+08,4.357600,1
32768,2147450880,5.217439e+08,4.115910,1
32768,2147450880,5.267817e+08,4.076548,1
32768,2147450880,4.927914e+08,4.357728,1
32768,2147450880,9.036639e+08,2.376382,2
32768,2147450880,9.220359e+08,2.329032,2
32768,2147450880,9.856734e+08,2.178664,2
32768,2147450880,8.816534e+08,2.435709,2
32768,2147450880,8.892384e+08,2.414933,2
32768,2147450880,1.812414e+09,1.184857,4
32768,2147450880,1.577320e+09,1.361455,4
32768,2147450880,1.757235e+09,1.222063,4
32768,2147450880,1.565653e+09,1.371601,4
32768,2147450880,1.597844e+09,1.343968,4
32768,2147450880,2.677435e+09,0.802055,8
32768,2147450880,2.981012e+09,0.720377,8
32768,2147450880,3.066913e+09,0.700200,8
32768,2147450880,2.929254e+09,0.733105,8
32768,2147450880,2.711706e+09,0.791919,8
32768,2147450880,4.817904e+09,0.445723,16
32768,2147450880,4.859193e+09,0.441936,16
32768,2147450880,4.910522e+09,0.437316,16
32768,2147450880,4.869945e+09,0.440960,16
32768,2147450880,5.113476e+09,0.419959,16
32768,2147450880,8.182437e+09,0.262446,32
32768,2147450880,6.940078e+09,0.309427,32
32768,2147450880,7.998858e+09,0.268470,32
32768,2147450880,7.536870e+09,0.284926,32
32768,2147450880,8.591511e+09,0.249950,32
32768,2147450880,8.769165e+09,0.244887,32
32768,2147450880,7.934330e+09,0.270653,32
32768,2147450880,8.493796e+09,0.252826,32
32768,2147450880,7.864579e+09,0.273054,32
32768,2147450880,7.020645e+09,0.305877,32
32768,2147450880,7.523261e+09,0.285441,32
32768,2147450880,8.341142e+09,0.257453,32
32768,2147450880,8.707411e+09,0.246623,32
32768,2147450880,8.484688e+09,0.253097,32
32768,2147450880,9.273185e+09,0.231576,32
32768,2147450880,7.281182e+09,0.294932,32
32768,2147450880,7.920100e+09,0.271139,32
32768,2147450880,7.565864e+09,0.283834,32
32768,2147450880,7.380738e+09,0.290953,32
32768,2147450880,9.294430e+09,0.231047,32
