N, FLOP, Flops, s, P
4096,4095,1.647e+07,0.00025,1
4096,4095,5.897e+07,0.00007,1
4096,4095,4.810e+07,0.00009,1
4096,4095,5.557e+07,0.00007,1
4096,4095,5.736e+07,0.00007,1
4096,4095,5.655e+06,0.00072,2
4096,4095,6.172e+06,0.00066,2
4096,4095,1.437e+06,0.00285,2
4096,4095,6.024e+06,0.00068,2
4096,4095,1.574e+06,0.00260,2
4096,4095,2.846e+06,0.00144,4
4096,4095,5.402e+05,0.00758,4
4096,4095,2.742e+06,0.00149,4
4096,4095,2.638e+06,0.00155,4
4096,4095,1.592e+06,0.00257,4
4096,4095,5.227e+05,0.00783,8
4096,4095,1.355e+06,0.00302,8
4096,4095,1.161e+06,0.00353,8
4096,4095,1.029e+06,0.00398,8
4096,4095,6.783e+05,0.00604,8
4096,4095,5.069e+05,0.00808,16
4096,4095,5.474e+05,0.00748,16
4096,4095,5.193e+05,0.00789,16
4096,4095,9.749e+05,0.00420,16
4096,4095,5.259e+05,0.00779,16
4096,4095,4.567e+05,0.00897,32
4096,4095,5.328e+05,0.00769,32
4096,4095,2.272e+05,0.01802,32
4096,4095,2.046e+05,0.02002,32
4096,4095,2.095e+05,0.01955,32
4096,4095,1.596e+05,0.02565,64
4096,4095,1.431e+05,0.02861,64
4096,4095,1.811e+05,0.02261,64
4096,4095,1.555e+05,0.02634,64
4096,4095,1.349e+05,0.03036,64
4096,4095,1.340e+05,0.03055,64
4096,4095,1.372e+05,0.02985,64
4096,4095,2.146e+05,0.01908,64
4096,4095,1.393e+05,0.02939,64
4096,4095,2.149e+05,0.01905,64
4096,4095,1.739e+05,0.02355,64
4096,4095,2.216e+05,0.01848,64
4096,4095,1.620e+05,0.02528,64
4096,4095,1.776e+05,0.02305,64
4096,4095,1.941e+05,0.02110,64
4096,4095,1.433e+05,0.02858,64
4096,4095,1.505e+05,0.02721,64
4096,4095,1.955e+05,0.02094,64
4096,4095,1.812e+05,0.02260,64
4096,4095,2.012e+05,0.02035,64
