N, FLOP, Flops, s, P
1073741824,1073741823,1.680e+08,6.39057,1
1073741824,1073741823,1.681e+08,6.38712,1
1073741824,1073741823,1.675e+08,6.40911,1
1073741824,1073741823,1.682e+08,6.38540,1
1073741824,1073741823,1.681e+08,6.38739,1
1073741824,1073741823,2.250e+08,4.77284,2
1073741824,1073741823,2.236e+08,4.80179,2
1073741824,1073741823,2.249e+08,4.77452,2
1073741824,1073741823,2.238e+08,4.79872,2
1073741824,1073741823,2.245e+08,4.78379,2
1073741824,1073741823,2.676e+08,4.01190,4
1073741824,1073741823,2.621e+08,4.09703,4
1073741824,1073741823,2.638e+08,4.07009,4
1073741824,1073741823,2.648e+08,4.05470,4
1073741824,1073741823,2.656e+08,4.04198,4
1073741824,1073741823,3.003e+08,3.57574,8
1073741824,1073741823,2.962e+08,3.62529,8
1073741824,1073741823,3.011e+08,3.56604,8
1073741824,1073741823,3.025e+08,3.54947,8
1073741824,1073741823,2.985e+08,3.59729,8
1073741824,1073741823,3.164e+08,3.39377,16
1073741824,1073741823,3.155e+08,3.40340,16
1073741824,1073741823,3.186e+08,3.36997,16
1073741824,1073741823,3.024e+08,3.55095,16
1073741824,1073741823,3.124e+08,3.43752,16
