N, FLOP, Flops, s, P
4096,33550336,4.217e+08,0.07957,1
4096,33550336,4.222e+08,0.07947,1
4096,33550336,4.234e+08,0.07924,1
4096,33550336,4.231e+08,0.07930,1
4096,33550336,4.220e+08,0.07951,1
4096,33550336,5.944e+08,0.05645,2
4096,33550336,6.029e+08,0.05565,2
4096,33550336,6.099e+08,0.05501,2
4096,33550336,5.965e+08,0.05625,2
4096,33550336,5.993e+08,0.05598,2
4096,33550336,6.995e+08,0.04796,4
4096,33550336,7.362e+08,0.04557,4
4096,33550336,7.432e+08,0.04514,4
4096,33550336,7.519e+08,0.04462,4
4096,33550336,7.450e+08,0.04503,4
4096,33550336,7.552e+08,0.04443,8
4096,33550336,6.736e+08,0.04981,8
4096,33550336,7.947e+08,0.04222,8
4096,33550336,7.580e+08,0.04426,8
4096,33550336,6.440e+08,0.05210,8
4096,33550336,8.368e+08,0.04010,16
4096,33550336,9.123e+08,0.03678,16
4096,33550336,8.379e+08,0.04004,16
4096,33550336,9.139e+08,0.03671,16
4096,33550336,9.877e+08,0.03397,16
4096,33550336,5.245e+08,0.06397,32
4096,33550336,5.264e+08,0.06374,32
4096,33550336,5.194e+08,0.06459,32
4096,33550336,6.027e+08,0.05567,32
4096,33550336,5.440e+08,0.06167,32
4096,33550336,1.512e+08,0.22184,64
4096,33550336,1.477e+08,0.22714,64
4096,33550336,1.525e+08,0.21997,64
4096,33550336,1.493e+08,0.22472,64
4096,33550336,1.530e+08,0.21930,64
4096,33550336,1.456e+08,0.23045,64
4096,33550336,1.470e+08,0.22830,64
4096,33550336,1.446e+08,0.23198,64
4096,33550336,1.531e+08,0.21920,64
4096,33550336,1.522e+08,0.22049,64
4096,33550336,1.531e+08,0.21907,64
4096,33550336,1.550e+08,0.21647,64
4096,33550336,1.459e+08,0.22990,64
4096,33550336,1.479e+08,0.22690,64
4096,33550336,1.487e+08,0.22561,64
4096,33550336,1.540e+08,0.21785,64
4096,33550336,1.484e+08,0.22607,64
4096,33550336,1.510e+08,0.22220,64
4096,33550336,1.439e+08,0.23313,64
4096,33550336,1.555e+08,0.21570,64
