N, FLOP, Flops, s, P
32768,2147450880,5.753e+08,3.73261,1
32768,2147450880,5.751e+08,3.73428,1
32768,2147450880,5.751e+08,3.73393,1
32768,2147450880,5.750e+08,3.73497,1
32768,2147450880,5.750e+08,3.73450,1
32768,2147450880,8.886e+08,2.41675,2
32768,2147450880,8.879e+08,2.41861,2
32768,2147450880,8.871e+08,2.42086,2
32768,2147450880,8.785e+08,2.44454,2
32768,2147450880,8.803e+08,2.43940,2
32768,2147450880,1.198e+09,1.79220,4
32768,2147450880,1.215e+09,1.76727,4
32768,2147450880,1.197e+09,1.79372,4
32768,2147450880,1.194e+09,1.79801,4
32768,2147450880,1.203e+09,1.78468,4
32768,2147450880,1.397e+09,1.53721,8
32768,2147450880,1.473e+09,1.45741,8
32768,2147450880,1.399e+09,1.53507,8
32768,2147450880,1.381e+09,1.55447,8
32768,2147450880,1.483e+09,1.44841,8
32768,2147450880,1.611e+09,1.33308,16
32768,2147450880,1.606e+09,1.33698,16
32768,2147450880,1.597e+09,1.34477,16
32768,2147450880,1.593e+09,1.34789,16
32768,2147450880,1.598e+09,1.34423,16
32768,2147450880,1.742e+09,1.23281,32
32768,2147450880,1.741e+09,1.23372,32
32768,2147450880,1.730e+09,1.24098,32
32768,2147450880,1.735e+09,1.23790,32
32768,2147450880,1.727e+09,1.24363,32
32768,2147450880,1.716e+09,1.25139,64
32768,2147450880,1.689e+09,1.27153,64
32768,2147450880,1.739e+09,1.23478,64
32768,2147450880,1.725e+09,1.24475,64
32768,2147450880,1.705e+09,1.25950,64
32768,2147450880,1.654e+09,1.29801,64
32768,2147450880,1.725e+09,1.24501,64
32768,2147450880,1.681e+09,1.27726,64
32768,2147450880,1.712e+09,1.25457,64
32768,2147450880,1.735e+09,1.23754,64
32768,2147450880,1.690e+09,1.27065,64
32768,2147450880,1.694e+09,1.26751,64
32768,2147450880,1.728e+09,1.24292,64
32768,2147450880,1.701e+09,1.26239,64
32768,2147450880,1.737e+09,1.23647,64
32768,2147450880,1.708e+09,1.25697,64
32768,2147450880,1.664e+09,1.29032,64
32768,2147450880,1.651e+09,1.30066,64
32768,2147450880,1.687e+09,1.27311,64
32768,2147450880,1.742e+09,1.23265,64
