N,P,s
2147483648,1,495.007457
2147483648,1,494.137922
2147483648,1,494.689124
2147483648,1,494.402858
2147483648,1,494.070662
2147483648,2,259.587168
2147483648,2,259.626649
2147483648,2,259.754663
2147483648,2,259.604870
2147483648,2,259.590861
2147483648,4,150.414511
2147483648,4,150.447723
2147483648,4,150.429071
2147483648,4,150.450558
2147483648,4,150.356827
2147483648,8,97.681985
2147483648,8,97.678291
2147483648,8,97.672095
2147483648,8,97.899785
2147483648,8,98.146863
2147483648,16,72.461191
2147483648,16,72.437460
2147483648,16,72.389381
2147483648,16,72.376928
2147483648,16,72.485426
2147483648,32,60.107857
2147483648,32,60.361261
2147483648,32,60.228653
2147483648,32,60.231076
2147483648,32,60.240179
2147483648,64,54.761245
2147483648,64,54.110181
2147483648,64,54.066632
2147483648,64,53.994550
2147483648,64,54.457818
