N,P,s
33554432,32,1.075173
33554432,32,1.058389
33554432,32,1.057289
33554432,32,1.056341
33554432,32,1.122946
67108864,32,1.912891
67108864,32,1.913339
67108864,32,1.971614
67108864,32,1.966018
67108864,32,1.994448
134217728,32,3.848097
134217728,32,3.835714
134217728,32,3.839881
134217728,32,3.845168
134217728,32,3.838130
268435456,32,7.703125
268435456,32,7.706176
268435456,32,7.692572
268435456,32,7.691981
268435456,32,7.682317
536870912,32,15.403371
536870912,32,15.425987
536870912,32,15.416985
536870912,32,15.390901
536870912,32,15.419647
1073741824,32,30.698125
1073741824,32,30.677797
1073741824,32,30.595188
1073741824,32,30.622415
1073741824,32,30.683732
2147483648,32,60.107857
2147483648,32,60.361261
2147483648,32,60.228653
2147483648,32,60.231076
2147483648,32,60.240179
