
Currently Loaded Modules:
  1) shared                   3) DefaultModules   5) openmpi/4.0.2
  2) slurm/RT_SLURM/19.05.7   4) gcc/5.5.0

 

there are 82025 primes under 1048576
time with 1 threads = 83.102110
there are 82025 primes under 1048576
time with 1 threads = 83.173076
there are 82025 primes under 1048576
time with 1 threads = 82.968517
there are 82025 primes under 1048576
time with 1 threads = 83.121983
there are 82025 primes under 1048576
time with 1 threads = 83.090420
there are 82025 primes under 1048576
time with 1 threads = 82.840339
there are 82025 primes under 1048576
time with 1 threads = 82.924749
there are 82025 primes under 1048576
time with 1 threads = 83.186922
there are 82025 primes under 1048576
time with 1 threads = 82.887423
there are 82025 primes under 1048576
time with 1 threads = 83.055645
there are 82025 primes under 1048576
time with 1 threads = 82.985171
there are 82025 primes under 1048576
time with 1 threads = 83.109103
there are 82025 primes under 1048576
time with 1 threads = 83.043569
there are 82025 primes under 1048576
time with 1 threads = 83.059358
there are 82025 primes under 1048576
time with 1 threads = 82.954394
there are 82025 primes under 1048576
time with 1 threads = 83.110190
there are 82025 primes under 1048576
time with 1 threads = 83.069373
there are 82025 primes under 1048576
time with 1 threads = 83.095286
there are 82025 primes under 1048576
time with 1 threads = 83.075847
there are 82025 primes under 1048576
time with 1 threads = 82.955365
there are 82025 primes under 1048576
time with 32 threads = 5.243811
there are 82025 primes under 1048576
time with 32 threads = 4.926376
there are 82025 primes under 1048576
time with 32 threads = 4.907604
there are 82025 primes under 1048576
time with 32 threads = 4.911861
there are 82025 primes under 1048576
time with 32 threads = 4.923871
there are 82025 primes under 1048576
time with 32 threads = 4.970344
there are 82025 primes under 1048576
time with 32 threads = 4.962782
there are 82025 primes under 1048576
time with 32 threads = 4.990795
there are 82025 primes under 1048576
time with 32 threads = 4.907974
there are 82025 primes under 1048576
time with 32 threads = 4.982122
there are 82025 primes under 1048576
time with 32 threads = 4.928743
there are 82025 primes under 1048576
time with 32 threads = 4.914128
there are 82025 primes under 1048576
time with 32 threads = 5.254803
there are 82025 primes under 1048576
time with 32 threads = 4.910028
there are 82025 primes under 1048576
time with 32 threads = 5.385669
there are 82025 primes under 1048576
time with 32 threads = 4.901423
there are 82025 primes under 1048576
time with 32 threads = 4.901046
there are 82025 primes under 1048576
time with 32 threads = 5.039315
there are 82025 primes under 1048576
time with 32 threads = 4.925111
there are 82025 primes under 1048576
time with 32 threads = 4.981839
there are 82025 primes under 1048576
time with 64 threads = 3.008485
there are 82025 primes under 1048576
time with 64 threads = 2.944941
there are 82025 primes under 1048576
time with 64 threads = 2.734624
there are 82025 primes under 1048576
time with 64 threads = 2.683554
there are 82025 primes under 1048576
time with 64 threads = 2.748099
there are 82025 primes under 1048576
time with 64 threads = 2.518498
there are 82025 primes under 1048576
time with 64 threads = 2.964553
there are 82025 primes under 1048576
time with 64 threads = 2.491494
there are 82025 primes under 1048576
time with 64 threads = 2.488673
there are 82025 primes under 1048576
time with 64 threads = 2.842054
there are 82025 primes under 1048576
time with 64 threads = 2.521747
there are 82025 primes under 1048576
time with 64 threads = 2.722333
there are 82025 primes under 1048576
time with 64 threads = 2.485733
there are 82025 primes under 1048576
time with 64 threads = 2.747875
there are 82025 primes under 1048576
time with 64 threads = 2.721155
there are 82025 primes under 1048576
time with 64 threads = 2.727802
there are 82025 primes under 1048576
time with 64 threads = 2.618600
there are 82025 primes under 1048576
time with 64 threads = 2.474503
there are 82025 primes under 1048576
time with 64 threads = 2.911658
there are 82025 primes under 1048576
time with 64 threads = 2.945335
