N,s,P
1048576,83.10211,1
1048576,83.17308,1
1048576,82.96852,1
1048576,83.12198,1
1048576,83.09042,1
1048576,82.84034,1
1048576,82.92475,1
1048576,83.18692,1
1048576,82.88742,1
1048576,83.05565,1
1048576,82.98517,1
1048576,83.10910,1
1048576,83.04357,1
1048576,83.05936,1
1048576,82.95439,1
1048576,83.11019,1
1048576,83.06937,1
1048576,83.09529,1
1048576,83.07585,1
1048576,82.95536,1
1048576,5.24381,32
1048576,4.92638,32
1048576,4.90760,32
1048576,4.91186,32
1048576,4.92387,32
1048576,4.97034,32
1048576,4.96278,32
1048576,4.99080,32
1048576,4.90797,32
1048576,4.98212,32
1048576,4.92874,32
1048576,4.91413,32
1048576,5.25480,32
1048576,4.91003,32
1048576,5.38567,32
1048576,4.90142,32
1048576,4.90105,32
1048576,5.03931,32
1048576,4.92511,32
1048576,4.98184,32
1048576,3.00849,64
1048576,2.94494,64
1048576,2.73462,64
1048576,2.68355,64
1048576,2.74810,64
1048576,2.51850,64
1048576,2.96455,64
1048576,2.49149,64
1048576,2.48867,64
1048576,2.84205,64
1048576,2.52175,64
1048576,2.72233,64
1048576,2.48573,64
1048576,2.74788,64
1048576,2.72116,64
1048576,2.72780,64
1048576,2.61860,64
1048576,2.47450,64
1048576,2.91166,64
1048576,2.94534,64
